page,img_index,filename,width,height
74,4,extracted_images/page074_img4.png,292,218
74,5,extracted_images/page074_img5.png,289,225
75,1,extracted_images/page075_img1.png,295,216
75,2,extracted_images/page075_img2.png,303,224
75,3,extracted_images/page075_img3.png,298,212
75,4,extracted_images/page075_img4.png,298,232
75,5,extracted_images/page075_img5.png,298,228
76,1,extracted_images/page076_img1.png,298,224
76,2,extracted_images/page076_img2.png,301,228
76,3,extracted_images/page076_img3.png,293,220
76,4,extracted_images/page076_img4.png,294,222
76,5,extracted_images/page076_img5.png,289,212
76,6,extracted_images/page076_img6.png,293,225
77,1,extracted_images/page077_img1.png,293,225
77,2,extracted_images/page077_img2.png,297,220
77,3,extracted_images/page077_img3.png,292,221
77,4,extracted_images/page077_img4.png,304,223
77,5,extracted_images/page077_img5.png,293,221
78,1,extracted_images/page078_img1.png,304,223
78,2,extracted_images/page078_img2.png,290,218
78,3,extracted_images/page078_img3.png,291,216
78,4,extracted_images/page078_img4.png,226,109
79,1,extracted_images/page079_img1.png,294,215
79,2,extracted_images/page079_img2.png,287,214
79,3,extracted_images/page079_img3.png,293,218
79,4,extracted_images/page079_img4.png,288,216
80,1,extracted_images/page080_img1.png,288,216
80,2,extracted_images/page080_img2.png,505,408
80,3,extracted_images/page080_img3.png,302,226
81,1,extracted_images/page081_img1.png,284,218
81,2,extracted_images/page081_img2.png,776,445
82,1,extracted_images/page082_img1.png,304,975
83,1,extracted_images/page083_img1.png,750,422
84,1,extracted_images/page084_img1.png,548,975
85,1,extracted_images/page085_img1.png,548,975
85,2,extracted_images/page085_img2.png,750,421
86,1,extracted_images/page086_img1.png,548,975
88,1,extracted_images/page088_img1.png,750,422
89,1,extracted_images/page089_img1.png,639,975
90,1,extracted_images/page090_img1.png,750,848
91,1,extracted_images/page091_img1.png,548,975
92,1,extracted_images/page092_img1.png,548,975
93,1,extracted_images/page093_img1.png,750,564
94,1,extracted_images/page094_img1.png,548,975
95,1,extracted_images/page095_img1.png,750,405
95,2,extracted_images/page095_img2.png,548,975
96,1,extracted_images/page096_img1.png,750,409
96,2,extracted_images/page096_img2.png,750,412
97,1,extracted_images/page097_img1.png,548,975
98,1,extracted_images/page098_img1.png,548,975
99,1,extracted_images/page099_img1.png,548,975
100,1,extracted_images/page100_img1.png,548,975
101,1,extracted_images/page101_img1.png,548,975
102,1,extracted_images/page102_img1.png,750,422
102,2,extracted_images/page102_img2.png,548,975
105,1,extracted_images/page105_img1.png,750,233
106,2,extracted_images/page106_img2.png,255,387
106,3,extracted_images/page106_img3.png,319,568
107,1,extracted_images/page107_img1.png,437,293
108,1,extracted_images/page108_img1.png,319,568
108,2,extracted_images/page108_img2.png,319,568
109,1,extracted_images/page109_img1.png,1033,544
114,1,extracted_images/page114_img1.png,475,951
115,1,extracted_images/page115_img1.png,548,975
116,1,extracted_images/page116_img1.png,270,975
117,1,extracted_images/page117_img1.png,750,959
118,1,extracted_images/page118_img1.png,548,975
119,1,extracted_images/page119_img1.png,548,975
120,1,extracted_images/page120_img1.png,548,975
121,1,extracted_images/page121_img1.png,548,975
122,1,extracted_images/page122_img1.png,750,396
123,1,extracted_images/page123_img1.png,457,765
124,1,extracted_images/page124_img1.png,457,765
125,1,extracted_images/page125_img1.png,1163,682
126,1,extracted_images/page126_img1.png,548,975
127,1,extracted_images/page127_img1.png,548,975
128,1,extracted_images/page128_img1.png,548,975
129,1,extracted_images/page129_img1.png,548,975
130,1,extracted_images/page130_img1.png,548,975
131,1,extracted_images/page131_img1.png,548,975
132,1,extracted_images/page132_img1.png,548,975
133,1,extracted_images/page133_img1.png,548,975
134,1,extracted_images/page134_img1.png,548,975
135,1,extracted_images/page135_img1.png,300,534
135,2,extracted_images/page135_img2.png,347,617
136,1,extracted_images/page136_img1.png,347,616
136,2,extracted_images/page136_img2.png,347,617
137,1,extracted_images/page137_img1.png,347,616
137,2,extracted_images/page137_img2.png,347,617
138,1,extracted_images/page138_img1.png,347,616
138,2,extracted_images/page138_img2.png,347,616
139,1,extracted_images/page139_img1.png,346,616
139,2,extracted_images/page139_img2.png,347,617
139,3,extracted_images/page139_img3.png,347,617
139,4,extracted_images/page139_img4.png,347,617
140,1,extracted_images/page140_img1.png,347,616
140,2,extracted_images/page140_img2.png,347,616
141,1,extracted_images/page141_img1.png,347,617
142,1,extracted_images/page142_img1.png,347,616
145,1,extracted_images/page145_img1.png,750,422
149,1,extracted_images/page149_img1.png,449,654
150,1,extracted_images/page150_img1.png,633,922
151,1,extracted_images/page151_img1.png,662,922
156,1,extracted_images/page156_img1.png,400,280
159,1,extracted_images/page159_img1.png,334,223
160,1,extracted_images/page160_img1.png,540,744
162,1,extracted_images/page162_img1.png,572,370
163,1,extracted_images/page163_img1.png,573,322
164,1,extracted_images/page164_img1.png,240,975
165,1,extracted_images/page165_img1.png,750,433
168,1,extracted_images/page168_img1.png,750,422
169,1,extracted_images/page169_img1.png,548,975
170,1,extracted_images/page170_img1.png,548,975
171,1,extracted_images/page171_img1.png,750,763
172,1,extracted_images/page172_img1.png,548,975
174,1,extracted_images/page174_img1.png,548,975
175,1,extracted_images/page175_img1.png,548,975
176,1,extracted_images/page176_img1.png,750,794
177,1,extracted_images/page177_img1.png,548,975
178,1,extracted_images/page178_img1.png,548,975
179,1,extracted_images/page179_img1.png,475,267
179,2,extracted_images/page179_img2.png,475,267
179,3,extracted_images/page179_img3.png,475,845
179,4,extracted_images/page179_img4.png,548,975
179,5,extracted_images/page179_img5.png,548,975
180,1,extracted_images/page180_img1.png,475,845
180,2,extracted_images/page180_img2.png,475,844
180,3,extracted_images/page180_img3.png,475,845
181,1,extracted_images/page181_img1.png,475,844
181,2,extracted_images/page181_img2.png,475,845
182,1,extracted_images/page182_img1.png,475,845
182,2,extracted_images/page182_img2.png,475,267
182,3,extracted_images/page182_img3.png,475,267
183,1,extracted_images/page183_img1.png,475,845
184,1,extracted_images/page184_img1.png,548,975
185,1,extracted_images/page185_img1.png,548,975
186,1,extracted_images/page186_img1.png,750,422
186,2,extracted_images/page186_img2.png,548,975
193,1,extracted_images/page193_img1.png,548,975
194,1,extracted_images/page194_img1.png,750,762
198,1,extracted_images/page198_img1.png,548,975
199,1,extracted_images/page199_img1.png,627,975
200,1,extracted_images/page200_img1.png,740,975
201,1,extracted_images/page201_img1.png,548,975
202,1,extracted_images/page202_img1.png,750,422
205,1,extracted_images/page205_img1.png,548,975
206,1,extracted_images/page206_img1.png,548,975
208,1,extracted_images/page208_img1.png,357,975
209,1,extracted_images/page209_img1.png,379,975
210,1,extracted_images/page210_img1.png,356,975
211,1,extracted_images/page211_img1.png,750,422
211,2,extracted_images/page211_img2.png,548,975
212,1,extracted_images/page212_img1.png,750,422
213,1,extracted_images/page213_img1.png,750,550
214,1,extracted_images/page214_img1.png,548,975
215,1,extracted_images/page215_img1.png,750,422
216,1,extracted_images/page216_img1.png,750,486
216,2,extracted_images/page216_img2.png,750,645
217,1,extracted_images/page217_img1.png,750,752
217,2,extracted_images/page217_img2.png,548,975
218,1,extracted_images/page218_img1.png,548,975
219,1,extracted_images/page219_img1.png,750,439
220,1,extracted_images/page220_img1.png,750,823
220,2,extracted_images/page220_img2.png,750,455
221,1,extracted_images/page221_img1.png,750,443
221,2,extracted_images/page221_img2.png,750,644
222,1,extracted_images/page222_img1.png,750,440
222,2,extracted_images/page222_img2.png,750,454
222,3,extracted_images/page222_img3.png,750,442
223,1,extracted_images/page223_img1.png,750,474
224,1,extracted_images/page224_img1.png,548,975
228,1,extracted_images/page228_img1.png,548,975
229,1,extracted_images/page229_img1.png,750,937
230,1,extracted_images/page230_img1.png,688,975
233,1,extracted_images/page233_img1.png,547,975
238,1,extracted_images/page238_img1.png,750,407
238,2,extracted_images/page238_img2.png,750,422
240,1,extracted_images/page240_img1.png,750,422
242,1,extracted_images/page242_img1.png,548,975
243,1,extracted_images/page243_img1.png,750,380
244,1,extracted_images/page244_img1.png,750,532
245,1,extracted_images/page245_img1.png,548,975
246,1,extracted_images/page246_img1.png,548,975
247,1,extracted_images/page247_img1.png,548,975
248,1,extracted_images/page248_img1.png,548,975
249,1,extracted_images/page249_img1.png,548,975
250,1,extracted_images/page250_img1.png,548,975
